product,tier,plan_id,price
AMP.VOTE,Free,plan_xXF3ph8u1iBeQ,$0 one-time
AMP.VOTE,Pro,plan_ew5nk4NgweN1F,$19/mo
AMP.VOTE,Business,plan_VB3HoPlxZFGVn,$79/mo + $79 setup
AMP.VOTE,Annual,plan_rU6WSeHfKRPSe,$179/yr
EPIC.CAB,Free,plan_PIdbn3i0LDhyX,$0 one-time
EPIC.CAB,Pro,plan_LFwwgEH9WHwAk,$29/mo
EPIC.CAB,Business,plan_1Yjn9L5qTZHAi,$99/mo + $99 setup
EPIC.CAB,Annual,plan_jNZrMlF4cZTif,$269/yr
TAG.VOTE,Free,plan_JJK2JrZ0YfO0A,$0 one-time
TAG.VOTE,Pro,plan_HBsaE03foISuo,$19/mo
TAG.VOTE,Business,plan_3Kf9JUX363BRz,$79/mo + $79 setup
TAG.VOTE,Annual,plan_lz6kzct5qkQA9,$179/yr
Decibel.co,Free,plan_sFR9fhY42G0mE,$0 one-time
Decibel.co,Pro,plan_w8RuKFRxcJliV,$29/mo
Decibel.co,Business,plan_flgKyfnJbeZ8S,$99/mo + $99 setup
Decibel.co,Annual,plan_HFtsM4YvUaxz5,$269/yr
SummerJobSwap,Community (Free),plan_pYS7QvCuPHK4d,$0 one-time
SummerJobSwap,Pro (Monthly),plan_Dq08GRMfjoEoB,$19/mo
SummerJobSwap,Pro (One-time),plan_OHaghPC6Ri2GA,$49 one-time
SummerJobSwap,Employer,plan_no8oc1YGrf2jm,$79/mo
ArtChat,Community (Free),plan_WqXDaZLgvPv4G,$0 one-time
Creator,Monthly,plan_hqdgnRJSzMvBH,$29/mo
Creator,Annual,plan_3ppQM4AM8RAim,$249/yr
API Access,One-time,plan_sB1p1LZeav4jU,$49 one-time
Business / Team,Monthly,plan_kgmqlNkYeKQCy,$99/mo
