id,theme,epic,user_story,acceptance_criteria,product_domain,user_journey_stage,platform,framework_ide,priority,sprint_target,effort_points,dependencies
US-001,Platform Infrastructure,Auth & Identity,"As a user, I can sign up with email/OAuth so I can access any domain product",OAuth2 + email signup flows work; JWT issued; session persists across domains,All Products,Acquisition,Web | iOS | Android,Next.js / React Native / Expo,P0 — Critical,S1,8,None
US-002,Platform Infrastructure,Auth & Identity,"As a user, I can SSO across AMP.VOTE, EPIC.CAB, TAG.VOTE, Decibel.co with one login",Shared auth token validates across all 4 domain apps; single logout propagates,All Products,Activation,Web | iOS | Android,Next.js / React Native / Shared Auth SDK,P0 — Critical,S1,13,US-001
US-003,Platform Infrastructure,Auth & Identity,"As an admin, I can manage roles (owner/editor/moderator/member) per product",RBAC system with 4+ role tiers; role assignment UI in dashboard,All Products,Retention,Web,Next.js / Whop Dashboard,P1 — High,S2,8,US-001
US-004,Platform Infrastructure,Auth & Identity,"As a user, I can link my Discord/Twitter/GitHub to my profile for social proof",Social OAuth connects store; linked accounts display on profile,All Products,Activation,Web | iOS | Android,Next.js / React Native / OAuth,P2 — Medium,S3,5,US-001
US-005,Platform Infrastructure,Payment & Billing Engine,"As a customer, I can subscribe to any plan (free/pro/biz/annual) via Whop checkout",All 25 plans resolve to Whop checkout; payment confirmation + membership created,All Products,Conversion,Web | iOS | Android,Whop SDK / Whop Payments Network,P0 — Critical,S1,5,None
US-006,Platform Infrastructure,Payment & Billing Engine,"As a customer, I can upgrade/downgrade between tiers with prorated billing",Plan changes trigger proration calc; membership updates; confirmation sent,All Products,Retention,Web,Whop SDK / Billing API,P1 — High,S2,8,US-005
US-007,Platform Infrastructure,Payment & Billing Engine,"As an admin, I can view real-time revenue dashboard across all products",Dashboard shows MRR/ARR/churn per product and combined; filterable by date,All Products,Admin,Web,Next.js / Whop Stats API,P1 — High,S2,8,US-005
US-008,Platform Infrastructure,Payment & Billing Engine,"As an affiliate, I earn 30% commission on referred paid signups across all plans",25 override rules fire correctly; affiliate ledger tracks earnings in real-time,All Products,Referral,Web,Whop Affiliate API,P0 — Critical,S1,3,US-005
US-009,Platform Infrastructure,Payment & Billing Engine,"As a member, I earn 35% commission referring new customers to any product",Member affiliate links generate with ?a= param; commissions tracked per conversion,All Products,Referral,Web | iOS | Android,Whop Affiliate API,P0 — Critical,S1,3,US-005
US-010,Platform Infrastructure,API & Webhooks,"As a developer, I can use the Company API key to CRUD products/plans/affiliates",All documented endpoints respond correctly; rate limits respected; errors handled,All Products,Developer,CLI / IDE,Node.js / Whop SDK / VS Code / Cursor,P0 — Critical,S1,5,None
US-011,Platform Infrastructure,API & Webhooks,"As a developer, I receive webhook events for payment/membership lifecycle changes","Webhook fires on payment.completed, membership.created/cancelled/paused/resumed",All Products,Developer,Server,Node.js / Express / Whop Webhooks,P1 — High,S2,5,US-010
US-012,Platform Infrastructure,API & Webhooks,"As a developer, I can run whop_affiliate_orchestrator.js with real plan IDs",Script replaces all placeholder IDs; creates/validates overrides; zero 404 errors,All Products,Developer,CLI,Node.js / VS Code / Cursor,P1 — High,S1,3,US-010
US-013,AMP.VOTE,Core Voting Engine,"As a user, I can create a poll with multiple options and set voting rules","Poll creation UI with title/options/rules (single/multi vote, deadline, anonymity)",AMP.VOTE,Activation,Web | iOS | Android,Next.js / React Native / Expo,P0 — Critical,S2,13,US-001
US-014,AMP.VOTE,Core Voting Engine,"As a user, I can vote in real-time and see live results with animations",WebSocket push updates; vote counts animate; results chart renders < 100ms,AMP.VOTE,Engagement,Web | iOS | Android,Next.js / React Native / WebSocket / D3.js,P0 — Critical,S2,13,US-013
US-015,AMP.VOTE,Core Voting Engine,"As a Pro user, I can create unlimited polls with advanced analytics","Pro tier unlocks: unlimited polls, voter demographics, export CSV, trend charts",AMP.VOTE,Monetization,Web | iOS | Android,Next.js / React Native / Chart.js,P1 — High,S3,8,US-014
US-016,AMP.VOTE,Core Voting Engine,"As a Business user, I can embed polls via API and white-label the voting widget",Embeddable iframe/SDK; custom branding; API endpoint for programmatic poll creation,AMP.VOTE,Monetization,Web | Embed,Next.js / iframe SDK / REST API,P1 — High,S4,13,US-015
US-017,AMP.VOTE,Sentiment & Decision Intelligence,"As a Pro user, I can view sentiment analysis on poll results",NLP runs on open-text responses; sentiment score (pos/neg/neutral) per option,AMP.VOTE,Engagement,Web,Next.js / Python NLP / OpenAI API,P2 — Medium,S5,13,US-015
US-018,AMP.VOTE,Sentiment & Decision Intelligence,"As a Business user, I can generate decision reports from poll data","PDF/CSV report generator; includes charts, statistical significance, recommendations",AMP.VOTE,Monetization,Web,Next.js / PDF Generation / Chart.js,P2 — Medium,S6,8,US-017
US-019,EPIC.CAB,Ride Matching & Dispatch,"As a rider, I can request a ride and get matched with nearby drivers",Location-based matching; ETA display; driver profile shown; ride confirmed in < 30s,EPIC.CAB,Activation,iOS | Android,React Native / Expo / Google Maps SDK,P0 — Critical,S2,21,US-001
US-020,EPIC.CAB,Ride Matching & Dispatch,"As a driver, I can accept/decline ride requests and navigate to pickup",Push notification for requests; accept/decline UI; turn-by-turn nav integration,EPIC.CAB,Engagement,iOS | Android,React Native / Expo / MapKit / Google Nav,P0 — Critical,S2,21,US-019
US-021,EPIC.CAB,Ride Matching & Dispatch,"As a Pro dispatcher, I can manage a fleet of drivers and assign rides manually",Dispatch dashboard with map view; drag-to-assign; driver status board; shift management,EPIC.CAB,Monetization,Web,Next.js / Mapbox GL / WebSocket,P1 — High,S3,21,US-020
US-022,EPIC.CAB,Ride Matching & Dispatch,"As a Business user, I can access the dispatch API for integration with external systems",REST API for ride CRUD; webhook callbacks for status changes; rate limiting; API docs,EPIC.CAB,Monetization,API,Node.js / Express / OpenAPI,P1 — High,S4,13,US-021
US-023,EPIC.CAB,Ride Tracking & Safety,"As a rider, I can track my ride in real-time and share my trip with contacts",Live map tracking; share link via SMS/email; ETA updates every 30s,EPIC.CAB,Engagement,iOS | Android,React Native / Expo / Google Maps / Twilio,P0 — Critical,S3,13,US-020
US-024,EPIC.CAB,Ride Tracking & Safety,"As a rider, I can rate my driver and report safety concerns",5-star rating + text review; safety report escalation flow; admin review queue,EPIC.CAB,Retention,iOS | Android | Web,React Native / Next.js,P1 — High,S3,8,US-023
US-025,TAG.VOTE,Tag Engine,"As a user, I can tag content with custom labels and browse by tag cloud",Tag CRUD; autocomplete; tag cloud visualization; click-to-filter; tag frequency ranking,TAG.VOTE,Activation,Web | iOS | Android,Next.js / React Native / Expo,P0 — Critical,S2,13,US-001
US-026,TAG.VOTE,Tag Engine,"As a Pro user, I can create tag taxonomies with hierarchical categories",Nested tag trees; parent-child relationships; bulk tag management; import/export,TAG.VOTE,Monetization,Web,Next.js / Tree UI Component,P1 — High,S3,8,US-025
US-027,TAG.VOTE,Tag Engine,"As a Business user, I can access tag analytics and content ranking algorithms",Tag usage trends; content heat maps; customizable ranking weights; A/B test framework,TAG.VOTE,Monetization,Web | API,Next.js / Python / Analytics Pipeline,P1 — High,S4,13,US-026
US-028,TAG.VOTE,Community Curation,"As a user, I can upvote/downvote tagged content to surface the best items",Vote buttons on all tagged items; score-based ranking; hot/new/top sort modes,TAG.VOTE,Engagement,Web | iOS | Android,Next.js / React Native / WebSocket,P0 — Critical,S3,8,US-025
US-029,TAG.VOTE,Community Curation,"As a moderator, I can review flagged content and manage community standards",Flag queue; bulk approve/reject; auto-flag rules; moderator activity log,TAG.VOTE,Retention,Web,Next.js / Admin Dashboard,P1 — High,S4,8,US-028
US-030,Decibel.co,Audio Analytics,"As a creator, I can upload audio and get detailed analytics (duration, BPM, key, loudness)",Upload accepts mp3/wav/flac; analysis returns within 60s; results displayed in dashboard,Decibel.co,Activation,Web | iOS | Android,Next.js / React Native / FFmpeg / Essentia.js,P0 — Critical,S2,21,US-001
US-031,Decibel.co,Audio Analytics,"As a Pro user, I can batch-analyze my entire audio library with trend reports",Bulk upload queue; progress tracker; library-wide stats; monthly trend reports,Decibel.co,Monetization,Web,Next.js / Worker Queues / Chart.js,P1 — High,S3,13,US-030
US-032,Decibel.co,Audio Analytics,"As a Business user, I can access the audio analysis API for programmatic processing",REST API for upload + analyze; webhook for async results; batch endpoint; rate limiting,Decibel.co,Monetization,API,Node.js / Express / FFmpeg / OpenAPI,P1 — High,S4,13,US-031
US-033,Decibel.co,Creator Monetization,"As a creator, I can set up a sonic storefront to sell beats/samples/packs",Storefront builder; file hosting; preview player; purchase flow via Whop checkout,Decibel.co,Monetization,Web | iOS | Android,Next.js / React Native / Howler.js / Whop SDK,P1 — High,S4,21,US-030
US-034,Decibel.co,Creator Monetization,"As a creator, I can track audio plays, downloads, and revenue per asset","Per-asset dashboard; play count, download count, revenue attribution; date filtering",Decibel.co,Retention,Web,Next.js / Whop Stats API,P2 — Medium,S5,8,US-033
US-035,SummerJobSwap,Job Board,"As a job seeker, I can browse and search summer job listings by location/type/pay",Search with filters; job cards with key details; save/apply actions; results < 200ms,SummerJobSwap Community,Activation,Web | iOS | Android,Next.js / React Native / Expo / Algolia,P0 — Critical,S2,13,US-001
US-036,SummerJobSwap,Job Board,"As an employer, I can post job listings with rich media and requirements",Job posting form; rich text editor; image upload; requirements checklist; preview mode,SummerJobSwap Employer,Activation,Web,Next.js / Tiptap Editor / Whop File API,P0 — Critical,S2,8,US-001
US-037,SummerJobSwap,Job Board,"As a Pro user, I get priority placement in job search results and early access to new listings",Pro badge on profile; boosted ranking in search; 24hr early access to new posts,SummerJobSwap Pro,Monetization,Web | iOS | Android,Next.js / React Native / Algolia Custom Ranking,P1 — High,S3,5,US-035
US-038,SummerJobSwap,Matching & Application,"As a job seeker, I can build a profile and get AI-matched to relevant listings",Profile builder; skill tags; AI matching score; daily match digest email,SummerJobSwap Pro,Engagement,Web | iOS | Android,Next.js / React Native / OpenAI API / SendGrid,P1 — High,S3,13,US-035
US-039,SummerJobSwap,Matching & Application,"As an employer, I can review applications and manage candidates through a pipeline",Kanban pipeline (applied/screening/interview/offer/hired); bulk actions; notes,SummerJobSwap Employer,Engagement,Web,Next.js / DnD Kit / Whop Chat API,P1 — High,S3,13,US-036
US-040,ArtChat Community,Community Hub,"As a member, I can chat in topic-based channels about art, music, and creative work",Channel list; real-time messaging; media sharing; emoji reactions; thread replies,ArtChat Community,Activation,Web | iOS | Android,Next.js / React Native / Whop Chat SDK,P0 — Critical,S1,5,US-001
US-041,ArtChat Community,Community Hub,"As a member, I can participate in forums with threaded discussions and media embeds",Forum categories; threaded posts; inline images/video; upvotes; pinned posts,ArtChat Community,Engagement,Web | iOS | Android,Next.js / React Native / Whop Forum SDK,P1 — High,S2,8,US-040
US-042,ArtChat Creator,Creator Tools,"As a Creator subscriber, I can access premium content library and courses",Gated content sections; course player with progress tracking; completion certificates,Creator,Monetization,Web | iOS | Android,Next.js / React Native / Whop Courses SDK,P1 — High,S3,13,US-040
US-043,ArtChat Creator,Creator Tools,"As a Creator subscriber, I can use AI-powered creative tools (image gen, style transfer)",AI tool suite; prompt-to-image; style transfer; gallery; usage credits per tier,Creator,Monetization,Web,Next.js / Replicate API / OpenAI API,P2 — Medium,S5,21,US-042
US-044,Business & API,Team Management,"As a team admin, I can invite members, assign seats, and manage permissions",Invite by email; seat counter vs plan limit; role assignment; remove member flow,Business / Team,Activation,Web,Next.js / Whop SDK / SendGrid,P1 — High,S3,8,US-001
US-045,Business & API,Team Management,"As a team admin, I can view consolidated usage and billing across all team seats",Team dashboard; per-seat usage charts; consolidated invoice; seat add/remove,Business / Team,Retention,Web,Next.js / Whop Stats API / Whop Billing API,P2 — Medium,S4,8,US-044
US-046,Business & API,API Developer Experience,"As a developer, I can access API documentation with interactive playground",OpenAPI spec hosted; Swagger UI/Redoc; try-it-now playground; code samples in 5 languages,API Access,Activation,Web,Next.js / Swagger UI / Mintlify,P1 — High,S3,8,None
US-047,Business & API,API Developer Experience,"As a developer, I can manage API keys, view usage, and set rate limit alerts",API key CRUD; usage graph; rate limit display; alert thresholds; email notifications,API Access,Retention,Web,Next.js / Whop Developer Dashboard,P2 — Medium,S4,5,US-046
US-048,Mobile Platform,iOS App Shell,"As a user, I can download the iOS app and access all domain products in one app",Universal app; tab nav per domain; deep links; push notifications; App Store approved,All Products,Acquisition,iOS,React Native / Expo / Xcode,P0 — Critical,S2,21,US-001; US-002
US-049,Mobile Platform,Android App Shell,"As a user, I can download the Android app and access all domain products in one app",Universal app; tab nav; deep links; push notifications; Play Store approved,All Products,Acquisition,Android,React Native / Expo / Android Studio,P0 — Critical,S2,21,US-001; US-002
US-050,Mobile Platform,Push Notifications,"As a user, I receive timely push notifications for votes, rides, tags, and messages",FCM/APNs integration; notification preferences; per-domain toggle; quiet hours,All Products,Retention,iOS | Android,React Native / Expo Notifications / FCM / APNs,P1 — High,S3,8,US-048; US-049
US-051,Mobile Platform,Offline Mode,"As a user, I can access cached content and queue actions while offline",Local SQLite cache; optimistic UI; action queue syncs on reconnect; conflict resolution,All Products,Retention,iOS | Android,React Native / Expo / WatermelonDB,P2 — Medium,S5,13,US-048; US-049
US-052,Growth Engine,Onboarding Funnel,"As a new user, I complete a guided onboarding that recommends the right product/tier",Multi-step wizard; interest picker; product recommendation engine; free trial prompt,All Products,Acquisition,Web | iOS | Android,Next.js / React Native / Expo,P1 — High,S3,8,US-001
US-053,Growth Engine,Referral Program,"As a member, I can share my referral link and track conversions in my dashboard",Referral dashboard; unique link per user; conversion tracking; earnings display,All Products,Referral,Web | iOS | Android,Next.js / React Native / Whop Affiliate API,P0 — Critical,S2,5,US-008; US-009
US-054,Growth Engine,Email & Lifecycle Marketing,"As an admin, I can set up automated email sequences for onboarding/upsell/win-back",Email template builder; trigger rules; A/B subject testing; analytics per campaign,All Products,Retention,Web,Next.js / SendGrid / Whop Webhooks,P1 — High,S4,13,US-011
US-055,Growth Engine,Content Marketing & SEO,"As an admin, I can publish SEO-optimized landing pages per domain product",Landing page builder; meta tags; OG images; schema markup; Core Web Vitals pass,All Products,Acquisition,Web,Next.js / Vercel / next-seo,P1 — High,S3,8,None
US-056,Growth Engine,Ad Campaigns,"As an admin, I can create and manage Whop ad campaigns targeting relevant audiences",Campaign CRUD; budget setting; audience targeting; performance metrics; ROI tracking,All Products,Acquisition,Web,Whop Ads API / Dashboard,P2 — Medium,S5,8,US-007
US-057,Admin & Operations,Unified Admin Dashboard,"As an admin, I can view all 12 products, 25 plans, and key metrics from one screen",Dashboard home; product grid; plan summary; MRR/ARR/churn KPIs; quick actions,All Products,Admin,Web,Next.js / Whop Stats API / Whop SDK,P0 — Critical,S2,13,US-007
US-058,Admin & Operations,Member Management,"As an admin, I can search, filter, and take actions on members across all products",Member search; filter by product/status/spend; bulk cancel/pause; export CSV,All Products,Admin,Web,Next.js / Whop Members API,P1 — High,S3,8,US-057
US-059,Admin & Operations,Support System,"As a member, I can open support tickets that route to the right team",Support chat integration; auto-routing by product; ticket queue; SLA tracking,All Products,Retention,Web | iOS | Android,Whop Support Chat SDK / Next.js,P1 — High,S3,8,US-001
US-060,Admin & Operations,Analytics & Reporting,"As an admin, I can generate custom reports with date ranges and product filters",Report builder; metric picker; date range; product/plan filters; export PDF/CSV,All Products,Admin,Web,Next.js / Whop Stats API / Chart.js,P2 — Medium,S4,13,US-057
